Date,Open,High,Low,Close,Volume
18.03.2019 08:00:00.000,25866.069,25866.569,25838.069,25843.070,0.4609
18.03.2019 09:00:00.000,25843.070,25845.570,25802.070,25816.570,0.312
18.03.2019 10:00:00.000,25817.070,25821.569,25776.070,25797.069,0.2778
18.03.2019 11:00:00.000,25798.069,25847.070,25796.069,25838.570,0.1584
18.03.2019 12:00:00.000,25838.570,25841.069,25803.070,25815.069,0.17
18.03.2019 13:00:00.000,25815.570,25873.670,25797.069,25863.669,1.2552
18.03.2019 14:00:00.000,25864.669,25884.670,25829.670,25868.170,0.9671
18.03.2019 15:00:00.000,25868.670,25874.670,25782.669,25814.170,0.699
18.03.2019 16:00:00.000,25815.374,25865.670,25803.670,25860.670,0.7578
18.03.2019 17:00:00.000,25860.670,25886.170,25848.669,25882.169,0.3482
18.03.2019 18:00:00.000,25882.169,25900.670,25860.170,25884.170,0.3413
18.03.2019 19:00:00.000,25884.170,25925.170,25859.670,25914.669,0.5128
18.03.2019 20:00:00.000,25914.669,25941.670,25913.169,25925.970,0.0937
18.03.2019 22:00:00.000,25929.470,25950.969,25926.969,25939.969,0.0997
18.03.2019 23:00:00.000,25939.969,25950.470,25928.970,25937.470,0.1278
19.03.2019 00:00:00.000,25937.470,25939.470,25914.470,25933.470,0.2372
19.03.2019 01:00:00.000,25933.970,25978.970,25930.470,25953.970,0.2628
19.03.2019 02:00:00.000,25953.969,25965.970,25943.469,25963.470,0.2336
19.03.2019 03:00:00.000,25963.470,25971.469,25949.469,25949.969,0.1396
19.03.2019 04:00:00.000,25949.969,25962.470,25945.470,25958.470,0.0747
19.03.2019 05:00:00.000,25958.470,25961.470,25947.469,25948.470,0.1249
19.03.2019 06:00:00.000,25949.469,25965.070,25936.469,25964.570,0.0833
19.03.2019 07:00:00.000,25964.070,25965.070,25948.069,25948.070,0.1125
19.03.2019 08:00:00.000,25948.070,26011.570,25947.070,26002.070,0.2982
19.03.2019 09:00:00.000,26001.570,26023.569,25988.070,26010.570,0.3764
19.03.2019 10:00:00.000,26010.070,26043.070,25993.069,26039.070,0.3128
19.03.2019 11:00:00.000,26039.069,26039.570,26014.069,26017.569,0.2753
19.03.2019 12:00:00.000,26017.569,26042.070,26014.069,26033.070,0.3766
19.03.2019 13:00:00.000,26033.569,26053.070,25992.670,25994.669,0.9611
19.03.2019 14:00:00.000,25995.669,26064.169,25994.670,26002.670,1.1434
19.03.2019 15:00:00.000,26003.875,26095.669,26003.669,26094.170,0.4551
19.03.2019 16:00:00.000,26094.669,26112.669,25919.169,26006.669,1.1522
19.03.2019 17:00:00.000,26007.670,26020.170,25953.169,25960.170,1.1705
19.03.2019 18:00:00.000,25960.669,25985.670,25912.669,25936.169,0.9391
19.03.2019 19:00:00.000,25936.169,25951.670,25812.669,25901.170,1.4693
19.03.2019 20:00:00.000,25902.170,25904.669,25859.170,25866.470,0.2239
19.03.2019 22:00:00.000,25877.970,25885.470,25843.469,25843.470,0.136
19.03.2019 23:00:00.000,25843.969,25863.969,25831.469,25856.970,0.1918
20.03.2019 00:00:00.000,25857.470,25869.470,25824.470,25827.469,0.3862
20.03.2019 01:00:00.000,25826.970,25836.470,25797.060,25812.969,0.5507
20.03.2019 02:00:00.000,25812.469,25861.469,25812.469,25856.469,0.4042
20.03.2019 03:00:00.000,25855.969,25863.470,25833.969,25848.469,0.2737
20.03.2019 04:00:00.000,25847.469,25857.470,25833.969,25837.970,0.1037
20.03.2019 05:00:00.000,25838.470,25874.970,25837.969,25874.970,0.3035
20.03.2019 06:00:00.000,25875.469,25892.469,25869.469,25876.069,0.2044
20.03.2019 07:00:00.000,25876.570,25898.570,25874.069,25890.070,0.2602
20.03.2019 08:00:00.000,25891.070,25931.070,25887.069,25922.070,0.4348
20.03.2019 09:00:00.000,25922.570,25922.570,25880.069,25885.070,0.4343
20.03.2019 10:00:00.000,25886.069,25903.070,25850.069,25855.069,0.4417
20.03.2019 11:00:00.000,25855.069,25893.070,25846.069,25892.070,0.3659
20.03.2019 12:00:00.000,25893.069,25906.070,25842.069,25843.070,0.4065
20.03.2019 13:00:00.000,25842.569,25876.570,25746.669,25757.669,1.2483
20.03.2019 14:00:00.000,25757.170,25829.669,25753.169,25814.670,1.7704
20.03.2019 15:00:00.000,25815.169,25842.670,25705.170,25716.169,1.1651
20.03.2019 16:00:00.000,25717.170,25768.669,25667.169,25719.170,1.4192
20.03.2019 17:00:00.000,25718.169,25744.170,25707.170,25744.170,1.1331
20.03.2019 18:00:00.000,25744.669,25930.169,25744.669,25894.170,3.1098
20.03.2019 19:00:00.000,25895.669,25911.170,25733.170,25745.169,2.4827
20.03.2019 20:00:00.000,25746.669,25748.169,25681.169,25688.469,0.345
20.03.2019 22:00:00.000,25665.470,25705.970,25656.969,25699.470,0.1188
20.03.2019 23:00:00.000,25699.470,25731.470,25698.970,25718.470,0.1072
21.03.2019 00:00:00.000,25717.969,25780.970,25717.470,25777.470,0.3559
21.03.2019 01:00:00.000,25776.969,25784.970,25740.469,25744.469,0.4392
21.03.2019 02:00:00.000,25744.969,25752.970,25720.470,25722.970,0.3878
21.03.2019 03:00:00.000,25720.969,25724.970,25694.470,25710.969,0.3138
21.03.2019 04:00:00.000,25711.469,25729.970,25695.969,25721.969,0.2883
21.03.2019 05:00:00.000,25722.470,25740.969,25703.469,25703.970,0.4613
21.03.2019 06:00:00.000,25703.969,25714.470,25617.969,25628.569,0.5374
21.03.2019 07:00:00.000,25628.569,25648.569,25605.070,25606.569,0.6227
21.03.2019 08:00:00.000,25607.069,25669.569,25603.569,25636.069,0.904
21.03.2019 09:00:00.000,25635.570,25679.570,25634.569,25664.069,0.6627
21.03.2019 10:00:00.000,25664.569,25678.070,25644.570,25671.070,0.5326
21.03.2019 11:00:00.000,25670.569,25673.570,25574.570,25590.069,0.9259
21.03.2019 12:00:00.000,25590.069,25623.069,25579.070,25616.570,0.687
21.03.2019 13:00:00.000,25616.070,25811.669,25614.070,25788.169,1.1354
21.03.2019 14:00:00.000,25787.170,25866.669,25785.169,25866.669,1.6756
21.03.2019 15:00:00.000,25868.170,25983.169,25865.669,25979.669,1.1907
21.03.2019 16:00:00.000,25978.169,25981.670,25869.670,25899.669,0.7347
21.03.2019 17:00:00.000,25899.669,25959.170,25898.669,25939.670,0.3722
21.03.2019 18:00:00.000,25939.670,26007.670,25938.670,25971.669,0.4953
21.03.2019 19:00:00.000,25973.500,26011.670,25951.669,25969.169,0.9925
21.03.2019 20:00:00.000,25969.169,25981.670,25948.669,25980.970,0.191
21.03.2019 22:00:00.000,25936.469,25980.470,25934.470,25970.969,0.0973
21.03.2019 23:00:00.000,25970.969,25983.470,25953.470,25979.470,0.0616
22.03.2019 00:00:00.000,25979.470,26004.470,25969.970,25979.969,0.3837
22.03.2019 01:00:00.000,25979.470,25993.469,25951.470,25974.970,0.5694
22.03.2019 02:00:00.000,25975.470,25981.469,25928.970,25928.970,0.4573
22.03.2019 03:00:00.000,25928.970,25950.470,25922.469,25939.970,0.1739
22.03.2019 04:00:00.000,25939.970,25949.970,25935.970,25946.969,0.0495
22.03.2019 05:00:00.000,25946.969,25956.470,25938.469,25943.470,0.1362
22.03.2019 06:00:00.000,25943.470,25948.470,25909.470,25940.069,0.0995
22.03.2019 07:00:00.000,25939.070,25966.070,25931.069,25959.570,0.3314
22.03.2019 08:00:00.000,25959.069,25969.069,25821.570,25840.070,0.7055
22.03.2019 09:00:00.000,25841.070,25881.070,25829.069,25853.069,0.6392
22.03.2019 10:00:00.000,25853.570,25876.070,25827.570,25862.070,0.7149
22.03.2019 11:00:00.000,25862.070,25882.070,25836.069,25847.569,0.5239
22.03.2019 12:00:00.000,25847.070,25848.069,25784.070,25818.070,0.7794
22.03.2019 13:00:00.000,25818.070,25878.670,25663.669,25691.669,1.7216
22.03.2019 14:00:00.000,25691.669,25798.670,25665.669,25670.669,2.3177
22.03.2019 15:00:00.000,25670.170,25709.169,25537.669,25537.670,2.3319
22.03.2019 16:00:00.000,25539.670,25593.670,25509.169,25583.669,2.3854
22.03.2019 17:00:00.000,25583.669,25624.670,25541.670,25555.670,1.9764
22.03.2019 18:00:00.000,25555.670,25713.170,25549.170,25693.170,1.9138
22.03.2019 19:00:00.000,25693.670,25720.670,25502.670,25509.670,2.0841
22.03.2019 20:00:00.000,25508.670,25573.670,25508.670,25541.470,0.3963
24.03.2019 22:00:00.000,25584.469,25619.470,25530.469,25558.470,0.2976
24.03.2019 23:00:00.000,25558.470,25574.470,25542.470,25558.470,0.2164
25.03.2019 00:00:00.000,25558.470,25566.470,25385.969,25396.470,1.122
25.03.2019 01:00:00.000,25397.470,25454.969,25373.470,25446.969,1.3672
25.03.2019 02:00:00.000,25446.470,25463.470,25406.470,25438.969,0.9192
25.03.2019 03:00:00.000,25436.469,25441.470,25414.970,25437.970,0.5477
25.03.2019 04:00:00.000,25437.469,25440.969,25413.469,25434.470,0.2909
25.03.2019 05:00:00.000,25434.969,25439.970,25404.469,25411.470,0.4693
25.03.2019 06:00:00.000,25412.470,25421.470,25350.470,25365.570,0.5858
25.03.2019 07:00:00.000,25366.069,25429.069,25363.570,25423.569,0.7848
25.03.2019 08:00:00.000,25424.070,25493.069,25423.069,25446.069,1.1685
25.03.2019 09:00:00.000,25445.569,25536.570,25445.569,25515.569,1.3262
25.03.2019 10:00:00.000,25515.070,25544.070,25490.070,25513.069,0.839
25.03.2019 11:00:00.000,25513.569,25517.070,25472.069,25476.570,0.8234
25.03.2019 12:00:00.000,25476.069,25535.069,25466.069,25518.570,0.8762
25.03.2019 13:00:00.000,25518.069,25573.670,25383.669,25387.169,2.1591
25.03.2019 14:00:00.000,25387.669,25557.670,25368.669,25539.170,2.2966
25.03.2019 15:00:00.000,25537.670,25605.670,25503.669,25504.669,1.3915
25.03.2019 16:00:00.000,25506.170,25554.170,25429.169,25502.170,1.4638
25.03.2019 17:00:00.000,25501.669,25533.670,25417.670,25434.670,1.3522
25.03.2019 18:00:00.000,25434.170,25481.670,25383.170,25476.170,0.6479
25.03.2019 19:00:00.000,25476.170,25541.670,25460.669,25519.670,2.0522
25.03.2019 20:00:00.000,25519.670,25552.670,25510.670,25551.970,0.3817
25.03.2019 22:00:00.000,25560.470,25564.970,25534.969,25535.969,0.1844
25.03.2019 23:00:00.000,25535.470,25587.470,25534.470,25575.970,0.4013
26.03.2019 00:00:00.000,25575.970,25617.469,25570.970,25605.969,0.7119
26.03.2019 01:00:00.000,25606.469,25636.470,25595.470,25599.470,0.869
26.03.2019 02:00:00.000,25599.470,25646.469,25599.470,25631.970,0.7022
26.03.2019 03:00:00.000,25631.970,25635.470,25611.970,25632.970,0.5279
26.03.2019 04:00:00.000,25632.970,25646.470,25625.469,25634.470,0.2921
26.03.2019 05:00:00.000,25635.469,25656.970,25634.469,25645.470,0.5283
26.03.2019 06:00:00.000,25645.970,25648.970,25587.470,25621.069,0.6231
26.03.2019 07:00:00.000,25621.069,25636.569,25592.069,25630.570,0.4782
26.03.2019 08:00:00.000,25630.069,25637.069,25576.070,25581.070,0.7859
26.03.2019 09:00:00.000,25581.570,25657.070,25580.069,25648.069,0.6036
26.03.2019 10:00:00.000,25649.070,25692.069,25647.069,25688.070,0.5057
26.03.2019 11:00:00.000,25687.570,25703.569,25678.570,25693.569,0.472
26.03.2019 12:00:00.000,25693.069,25713.070,25661.069,25670.569,0.5232
26.03.2019 13:00:00.000,25671.070,25781.670,25668.570,25766.170,1.137
26.03.2019 14:00:00.000,25766.170,25795.670,25708.170,25786.670,1.5188
26.03.2019 15:00:00.000,25787.669,25794.170,25657.669,25685.670,0.6132
26.03.2019 16:00:00.000,25687.669,25702.170,25593.170,25633.670,0.6251
26.03.2019 17:00:00.000,25634.170,25651.669,25564.170,25568.170,0.5371
26.03.2019 18:00:00.000,25568.170,25608.670,25543.670,25605.670,0.5615
26.03.2019 19:00:00.000,25606.670,25660.670,25557.169,25656.170,0.6802
26.03.2019 20:00:00.000,25657.670,25660.670,25635.170,25650.970,0.1047
26.03.2019 22:00:00.000,25635.970,25636.470,25602.470,25602.970,0.0574
26.03.2019 23:00:00.000,25602.970,25629.470,25592.470,25624.970,0.1266
27.03.2019 00:00:00.000,25624.970,25644.970,25587.470,25621.970,0.2993
27.03.2019 01:00:00.000,25621.469,25633.470,25585.469,25621.970,0.3349
27.03.2019 02:00:00.000,25621.469,25657.970,25604.969,25641.970,0.231
27.03.2019 03:00:00.000,25641.470,25652.970,25629.470,25642.470,0.1322
27.03.2019 04:00:00.000,25642.470,25680.469,25641.969,25671.970,0.1015
27.03.2019 05:00:00.000,25671.970,25692.469,25661.469,25690.470,0.1511
27.03.2019 06:00:00.000,25691.470,25706.969,25682.469,25696.070,0.1339
27.03.2019 07:00:00.000,25696.070,25709.070,25680.069,25704.570,0.159
27.03.2019 08:00:00.000,25704.570,25707.570,25651.569,25654.569,0.2647
27.03.2019 09:00:00.000,25654.569,25695.070,25608.070,25617.569,0.3091
27.03.2019 10:00:00.000,25617.569,25619.070,25558.070,25565.070,0.4142
27.03.2019 11:00:00.000,25564.569,25611.570,25553.070,25605.070,0.3195
27.03.2019 12:00:00.000,25606.069,25673.570,25577.069,25664.070,0.4536
27.03.2019 13:00:00.000,25664.070,25756.670,25634.170,25650.170,0.6901
27.03.2019 14:00:00.000,25650.170,25731.670,25572.670,25605.670,1.0284
27.03.2019 15:00:00.000,25605.670,25626.170,25418.670,25459.669,1.0047
27.03.2019 16:00:00.000,25459.669,25545.669,25441.669,25520.670,0.9114
27.03.2019 17:00:00.000,25520.670,25611.670,25489.170,25592.670,0.7436
27.03.2019 18:00:00.000,25592.670,25651.170,25586.669,25616.170,0.7659
27.03.2019 19:00:00.000,25616.170,25677.169,25590.670,25624.669,0.7812
27.03.2019 20:00:00.000,25624.670,25645.470,25611.669,25635.470,0.1014
27.03.2019 22:00:00.000,25603.970,25617.970,25578.970,25594.969,0.0827
27.03.2019 23:00:00.000,25593.969,25609.970,25576.470,25606.470,0.1176
28.03.2019 00:00:00.000,25606.470,25608.470,25506.970,25538.969,0.3861
28.03.2019 01:00:00.000,25539.470,25543.470,25504.969,25528.970,0.322
28.03.2019 02:00:00.000,25528.970,25592.470,25520.970,25584.469,0.3229
28.03.2019 03:00:00.000,25584.469,25595.970,25568.470,25594.970,0.1936
28.03.2019 04:00:00.000,25594.970,25603.470,25566.470,25568.969,0.1371
28.03.2019 05:00:00.000,25569.469,25585.970,25546.470,25552.970,0.2175
28.03.2019 06:00:00.000,25552.469,25606.470,25521.469,25594.070,0.2265
28.03.2019 07:00:00.000,25593.569,25629.070,25570.070,25585.070,0.2965
28.03.2019 08:00:00.000,25584.570,25664.070,25577.570,25656.569,0.66
28.03.2019 09:00:00.000,25656.070,25681.070,25634.070,25668.570,0.6242
28.03.2019 10:00:00.000,25669.069,25683.069,25631.070,25650.069,0.6066
28.03.2019 11:00:00.000,25650.570,25652.070,25592.570,25613.070,0.6114
28.03.2019 12:00:00.000,25613.569,25674.069,25605.070,25651.070,0.7728
28.03.2019 13:00:00.000,25650.569,25741.170,25638.569,25689.670,1.1929
28.03.2019 14:00:00.000,25689.170,25726.669,25663.170,25669.670,0.7141
28.03.2019 15:00:00.000,25669.670,25680.169,25583.670,25623.170,0.7793
28.03.2019 16:00:00.000,25623.670,25648.670,25572.670,25642.669,0.5969
28.03.2019 17:00:00.000,25643.670,25682.170,25638.669,25680.670,0.4004
28.03.2019 18:00:00.000,25680.670,25687.670,25653.670,25682.169,0.3475
28.03.2019 19:00:00.000,25682.670,25728.170,25670.669,25714.670,0.7325
28.03.2019 20:00:00.000,25715.670,25729.670,25701.670,25722.470,0.0587
28.03.2019 22:00:00.000,25725.970,25731.470,25711.469,25724.970,0.0391
28.03.2019 23:00:00.000,25724.970,25802.970,25716.970,25787.470,0.1172
29.03.2019 00:00:00.000,25787.470,25805.469,25769.469,25778.470,0.1867
29.03.2019 01:00:00.000,25778.470,25784.470,25747.470,25756.470,0.2644
29.03.2019 02:00:00.000,25756.470,25801.470,25746.470,25791.470,0.2429
29.03.2019 03:00:00.000,25791.470,25800.470,25780.469,25789.970,0.1256
29.03.2019 04:00:00.000,25789.970,25799.470,25784.469,25789.470,0.0552
29.03.2019 05:00:00.000,25789.470,25795.470,25768.470,25776.470,0.1362
29.03.2019 06:00:00.000,25776.470,25786.470,25761.469,25777.070,0.1139
29.03.2019 07:00:00.000,25777.070,25804.070,25767.070,25784.070,0.1981
29.03.2019 08:00:00.000,25783.570,25800.070,25748.570,25750.069,0.3058
29.03.2019 09:00:00.000,25750.069,25776.570,25750.069,25767.570,0.3888
29.03.2019 10:00:00.000,25767.069,25780.569,25731.070,25777.070,0.4197
29.03.2019 11:00:00.000,25777.070,25846.070,25773.070,25829.569,0.5133
29.03.2019 12:00:00.000,25829.070,25860.570,25820.570,25854.569,0.4214
29.03.2019 13:00:00.000,25854.070,25886.170,25787.669,25825.669,1.011
29.03.2019 14:00:00.000,25830.170,25862.669,25769.170,25807.670,1.531
29.03.2019 15:00:00.000,25807.670,25878.670,25806.670,25850.170,1.1029
29.03.2019 16:00:00.000,25850.669,25879.669,25806.669,25870.670,0.8926
29.03.2019 17:00:00.000,25870.670,25876.670,25835.170,25863.670,0.76
29.03.2019 18:00:00.000,25863.170,25914.170,25851.169,25907.170,0.6635
29.03.2019 19:00:00.000,25907.169,25945.670,25859.170,25926.170,0.9166
29.03.2019 20:00:00.000,25922.670,25936.170,25908.169,25933.970,0.1615
31.03.2019 22:00:00.000,25990.970,26070.470,25989.970,26046.470,0.2369
31.03.2019 23:00:00.000,26046.470,26064.969,26025.470,26060.970,0.2282
01.04.2019 00:00:00.000,26060.970,26098.970,26056.469,26078.469,0.4778
01.04.2019 01:00:00.000,26077.969,26106.470,26070.969,26089.970,0.543
01.04.2019 02:00:00.000,26090.470,26122.969,26082.469,26102.970,0.4675
01.04.2019 03:00:00.000,26103.470,26107.470,26088.470,26093.469,0.2542
01.04.2019 04:00:00.000,26093.969,26093.969,26071.969,26085.469,0.2184
01.04.2019 05:00:00.000,26085.470,26096.470,26076.469,26087.969,0.312
01.04.2019 06:00:00.000,26087.969,26092.469,26066.469,26089.069,0.4166
01.04.2019 07:00:00.000,26089.569,26117.570,26076.070,26117.570,0.6944
01.04.2019 08:00:00.000,26116.069,26146.569,26095.569,26130.070,0.5509
01.04.2019 09:00:00.000,26129.570,26133.070,26099.570,26102.570,0.4658
01.04.2019 10:00:00.000,26102.570,26123.070,26084.070,26087.070,0.409
01.04.2019 11:00:00.000,26086.569,26124.570,26083.570,26119.070,0.5023
01.04.2019 12:00:00.000,26119.570,26142.570,26091.570,26124.570,0.4978
01.04.2019 13:00:00.000,26125.070,26149.570,26069.170,26094.669,1.1928
01.04.2019 14:00:00.000,26095.670,26170.670,26095.670,26163.669,1.3457
01.04.2019 15:00:00.000,26165.170,26197.670,26148.669,26184.669,0.9755
01.04.2019 16:00:00.000,26184.669,26196.670,26154.670,26196.170,0.7183
01.04.2019 17:00:00.000,26195.670,26204.670,26174.669,26203.670,0.6744
01.04.2019 18:00:00.000,26203.170,26243.669,26199.669,26226.670,0.6697
01.04.2019 19:00:00.000,26226.170,26279.670,26194.169,26253.670,0.826
01.04.2019 20:00:00.000,26252.170,26255.670,26221.169,26251.469,0.2117
01.04.2019 22:00:00.000,26219.970,26234.470,26214.470,26229.969,0.1159
01.04.2019 23:00:00.000,26230.470,26270.470,26222.470,26265.469,0.1997
02.04.2019 00:00:00.000,26266.470,26267.470,26243.470,26245.470,0.3533
02.04.2019 01:00:00.000,26244.969,26254.470,26227.469,26239.469,0.3812
02.04.2019 02:00:00.000,26239.970,26242.970,26220.469,26224.470,0.3023
02.04.2019 03:00:00.000,26223.970,26238.470,26206.969,26221.470,0.2597
02.04.2019 04:00:00.000,26220.969,26231.470,26212.469,26220.470,0.1582
02.04.2019 05:00:00.000,26220.469,26233.470,26214.470,26220.970,0.2161
02.04.2019 06:00:00.000,26221.469,26229.470,26209.470,26219.069,0.277
02.04.2019 07:00:00.000,26219.069,26229.070,26200.069,26214.570,0.6084
02.04.2019 08:00:00.000,26214.070,26239.070,26205.570,26222.570,0.4686
02.04.2019 09:00:00.000,26222.070,26258.070,26204.569,26251.569,0.4514
02.04.2019 10:00:00.000,26251.069,26266.069,26242.069,26260.069,0.4186
02.04.2019 11:00:00.000,26260.569,26266.069,26239.069,26248.070,0.3924
02.04.2019 12:00:00.000,26248.569,26262.070,26231.070,26237.070,0.3541
02.04.2019 13:00:00.000,26235.069,26237.070,26158.670,26205.669,0.9506
02.04.2019 14:00:00.000,26207.670,26207.670,26136.670,26164.669,1.2506
02.04.2019 15:00:00.000,26163.169,26185.670,26122.669,26174.170,1.1839
02.04.2019 16:00:00.000,26174.669,26187.669,26135.669,26153.670,0.7426
02.04.2019 17:00:00.000,26153.670,26177.670,26146.170,26155.670,0.6005
02.04.2019 18:00:00.000,26156.670,26183.669,26147.170,26183.170,0.3482
02.04.2019 19:00:00.000,26182.669,26200.670,26171.669,26180.170,0.6582
02.04.2019 20:00:00.000,26178.670,26180.670,26144.469,26144.469,0.1259
02.04.2019 22:00:00.000,26141.470,26154.970,26138.969,26149.970,0.0629
02.04.2019 23:00:00.000,26149.469,26152.970,26137.470,26143.970,0.0397
03.04.2019 00:00:00.000,26143.970,26246.470,26127.970,26233.470,0.2306
03.04.2019 01:00:00.000,26233.969,26271.469,26196.469,26245.470,0.2626
03.04.2019 02:00:00.000,26245.470,26254.470,26229.970,26240.969,0.1392
03.04.2019 03:00:00.000,26240.470,26243.470,26225.469,26230.969,0.0867
03.04.2019 04:00:00.000,26230.969,26240.470,26227.469,26235.970,0.0464
03.04.2019 05:00:00.000,26235.970,26247.470,26228.470,26236.469,0.1157
03.04.2019 06:00:00.000,26236.469,26259.470,26228.470,26247.570,0.1589
03.04.2019 07:00:00.000,26247.570,26280.070,26242.569,26265.070,0.321
03.04.2019 08:00:00.000,26265.070,26281.070,26252.069,26258.069,0.294
03.04.2019 09:00:00.000,26258.069,26270.070,26248.570,26257.070,0.2844
03.04.2019 10:00:00.000,26257.570,26262.070,26242.070,26249.570,0.285
03.04.2019 11:00:00.000,26249.070,26276.070,26246.069,26264.070,0.2817
03.04.2019 12:00:00.000,26264.570,26296.569,26254.070,26258.570,0.3995
03.04.2019 13:00:00.000,26258.570,26275.070,26176.669,26190.170,0.9452
03.04.2019 14:00:00.000,26161.670,26238.169,26149.170,26231.169,1.2548
03.04.2019 15:00:00.000,26232.170,26290.670,26227.170,26271.669,0.9679
03.04.2019 16:00:00.000,26271.669,26280.670,26235.170,26245.169,1.1176
03.04.2019 17:00:00.000,26245.169,26260.669,26173.169,26182.169,1.3199
03.04.2019 18:00:00.000,26182.169,26213.170,26162.170,26187.170,1.4986
03.04.2019 19:00:00.000,26186.170,26239.170,26137.669,26217.170,1.837
03.04.2019 20:00:00.000,26218.169,26238.970,26206.170,26238.470,0.2329
03.04.2019 22:00:00.000,26298.969,26305.970,26256.970,26257.970,0.1774
03.04.2019 23:00:00.000,26257.470,26274.970,26248.469,26250.970,0.2147
04.04.2019 00:00:00.000,26251.470,26268.470,26235.000,26262.470,0.5602
04.04.2019 01:00:00.000,26262.970,26291.970,26257.970,26284.469,0.6108
04.04.2019 02:00:00.000,26284.469,26289.970,26259.969,26259.969,0.4225
04.04.2019 03:00:00.000,26259.969,26260.970,26227.470,26240.970,0.5025
04.04.2019 04:00:00.000,26240.970,26257.470,26228.469,26243.969,0.328
04.04.2019 05:00:00.000,26243.969,26255.970,26236.970,26248.470,0.3756
04.04.2019 06:00:00.000,26248.969,26249.470,26213.470,26237.569,0.6221
04.04.2019 07:00:00.000,26238.070,26257.570,26225.070,26244.070,0.9386
04.04.2019 08:00:00.000,26244.569,26250.570,26185.069,26207.569,0.7146
04.04.2019 09:00:00.000,26207.569,26215.569,26190.570,26213.070,0.5899
04.04.2019 10:00:00.000,26213.070,26238.570,26198.070,26230.070,0.5959
04.04.2019 11:00:00.000,26230.070,26244.070,26219.069,26223.570,0.6142
04.04.2019 12:00:00.000,26224.070,26250.570,26214.569,26233.570,0.6321
04.04.2019 13:00:00.000,26233.570,26354.670,26211.670,26343.169,1.9109
04.04.2019 14:00:00.000,26342.670,26390.170,26302.670,26378.169,2.0595
04.04.2019 15:00:00.000,26379.170,26387.170,26319.169,26335.169,2.1258
04.04.2019 16:00:00.000,26335.169,26360.170,26298.169,26320.670,2.3498
